Date,Daily Open,Daily High,Daily Low,Daily Close,Volume
2019-11-25 00:00:00-05:00,898.0,902.5,892.0,892.5,77560
2019-11-26 00:00:00-05:00,892.75,895.0,882.75,884.25,104621
2019-11-27 00:00:00-05:00,884.75,887.5,881.25,882.0,88224
2019-11-29 00:00:00-05:00,883.25,884.75,875.75,876.75,66997
2019-12-02 00:00:00-05:00,877.75,883.0,867.5,870.5,125372
2019-12-03 00:00:00-05:00,873.5,875.75,868.25,871.0,111142
2019-12-04 00:00:00-05:00,872.25,880.0,871.5,878.0,102632
2019-12-05 00:00:00-05:00,878.0,888.75,877.25,884.25,108171
2019-12-06 00:00:00-05:00,884.75,894.0,884.5,889.5,159565
2019-12-09 00:00:00-05:00,891.75,903.5,889.75,897.25,179217
2019-12-10 00:00:00-05:00,897.5,902.25,896.25,901.25,100653
2019-12-11 00:00:00-05:00,898.75,902.0,892.0,893.5,154948
2019-12-12 00:00:00-05:00,893.0,901.75,888.25,898.25,129658
2019-12-13 00:00:00-05:00,906.0,917.0,901.5,907.5,167011
2019-12-16 00:00:00-05:00,912.5,922.75,912.5,922.0,108734
2019-12-17 00:00:00-05:00,921.25,931.0,920.25,928.75,137658
2019-12-18 00:00:00-05:00,928.0,930.0,923.0,928.5,98044
2019-12-19 00:00:00-05:00,926.75,929.25,921.25,924.5,82259
2019-12-20 00:00:00-05:00,925.0,930.0,924.0,928.25,88295
2019-12-23 00:00:00-05:00,929.0,937.0,927.5,934.0,100647
2019-12-24 00:00:00-05:00,933.0,937.5,929.0,936.5,45245
2019-12-26 00:00:00-05:00,937.75,940.0,936.75,937.75,42300
2019-12-27 00:00:00-05:00,937.25,941.5,928.75,929.5,72394
2019-12-30 00:00:00-05:00,929.0,941.0,927.25,939.5,54975
2019-12-31 00:00:00-05:00,939.25,943.5,933.75,943.0,10926
2020-01-02 00:00:00-05:00,943.25,949.0,941.75,944.25,2217
2020-01-03 00:00:00-05:00,944.5,945.25,926.75,930.5,2272
2020-01-06 00:00:00-05:00,929.25,936.25,929.0,932.75,1524
2020-01-07 00:00:00-05:00,933.5,935.0,928.75,935.0,866
2020-01-08 00:00:00-05:00,936.25,940.0,935.75,938.25,576
2020-01-09 00:00:00-05:00,943.25,943.25,931.0,933.75,345
2020-01-10 00:00:00-05:00,931.5,935.5,927.5,935.0,203
2020-01-13 00:00:00-05:00,938.5,938.5,929.25,929.25,82
2020-01-14 00:00:00-05:00,929.0,934.75,928.5,928.5,84463
2020-01-15 00:00:00-05:00,942.0,943.25,928.25,928.75,119742
2020-01-16 00:00:00-05:00,929.75,930.25,922.0,924.0,101998
2020-01-17 00:00:00-05:00,924.5,933.5,920.0,929.75,90936
2020-01-21 00:00:00-05:00,930.0,931.5,915.25,916.0,119955
