businessDate,transactionTime,rate,productCode,securityId,productDescription
11-02-2020,11-02-2020:13:28:00,0.07013,TY1,729303,12MTH SOFR SYNTH FUT
11-03-2020,11-03-2020:12:12:57,0.0771,TR6,623206,6-MTH SOFR SYNTH FUT
11-03-2020,11-03-2020:12:12:57,0.082,TR3,663077,3-MTH SOFR SYNTH FUT
11-03-2020,11-03-2020:12:12:57,0.083,TR1,401927,1-MTH SOFR SYNTH FUT
11-03-2020,11-03-2020:12:12:57,0.07242,TY1,729303,12MTH SOFR SYNTH FUT
11-04-2020,11-04-2020:11:00:40,0.0795,TR6,623206,6-MTH SOFR SYNTH FUT
11-04-2020,11-04-2020:11:00:40,0.0838,TR3,663077,3-MTH SOFR SYNTH FUT
11-04-2020,11-04-2020:11:00:40,0.0847,TR1,401927,1-MTH SOFR SYNTH FUT
11-04-2020,11-04-2020:11:00:40,0.07399,TY1,729303,12MTH SOFR SYNTH FUT
11-05-2020,11-05-2020:11:00:00,0.0803,TR6,623206,6-MTH SOFR SYNTH FUT
11-05-2020,11-05-2020:11:00:00,0.0851,TR3,663077,3-MTH SOFR SYNTH FUT
11-05-2020,11-05-2020:11:00:00,0.0873,TR1,401927,1-MTH SOFR SYNTH FUT
11-05-2020,11-05-2020:11:00:00,0.07352,TY1,729303,12MTH SOFR SYNTH FUT
11-06-2020,11-06-2020:11:00:00,0.0826,TR6,623206,6-MTH SOFR SYNTH FUT
11-06-2020,11-06-2020:11:00:00,0.0873,TR3,663077,3-MTH SOFR SYNTH FUT
11-06-2020,11-06-2020:11:00:00,0.0914,TR1,401927,1-MTH SOFR SYNTH FUT
11-06-2020,11-06-2020:11:00:00,0.07549,TY1,729303,12MTH SOFR SYNTH FUT
11-09-2020,11-09-2020:11:00:33,0.0836,TR6,623206,6-MTH SOFR SYNTH FUT
11-09-2020,11-09-2020:11:00:33,0.089,TR3,663077,3-MTH SOFR SYNTH FUT
11-09-2020,11-09-2020:11:00:33,0.0944,TR1,401927,1-MTH SOFR SYNTH FUT
11-09-2020,11-09-2020:11:00:33,0.08340,TY1,729303,12MTH SOFR SYNTH FUT
11-10-2020,11-10-2020:11:00:00,0.0845,TR6,623206,6-MTH SOFR SYNTH FUT
11-10-2020,11-10-2020:11:00:00,0.0875,TR3,663077,3-MTH SOFR SYNTH FUT
11-10-2020,11-10-2020:11:00:00,0.0921,TR1,401927,1-MTH SOFR SYNTH FUT
11-10-2020,11-10-2020:11:00:00,0.08222,TY1,729303,12MTH SOFR SYNTH FUT
11-12-2020,11-12-2020:11:00:00,0.0833,TR6,623206,6-MTH SOFR SYNTH FUT
11-12-2020,11-12-2020:11:00:00,0.0873,TR3,663077,3-MTH SOFR SYNTH FUT
11-12-2020,11-12-2020:11:00:00,0.0928,TR1,401927,1-MTH SOFR SYNTH FUT
11-12-2020,11-12-2020:11:00:00,0.07844,TY1,729303,12MTH SOFR SYNTH FUT
11-13-2020,11-13-2020:11:00:00,0.0826,TR6,623206,6-MTH SOFR SYNTH FUT
11-13-2020,11-13-2020:11:00:00,0.0872,TR3,663077,3-MTH SOFR SYNTH FUT
11-13-2020,11-13-2020:11:00:00,0.0901,TR1,401927,1-MTH SOFR SYNTH FUT
11-13-2020,11-13-2020:11:00:00,0.07911,TY1,729303,12MTH SOFR SYNTH FUT
11-16-2020,11-16-2020:11:00:00,0.0811,TR6,623206,6-MTH SOFR SYNTH FUT
11-16-2020,11-16-2020:11:00:00,0.0857,TR3,663077,3-MTH SOFR SYNTH FUT
11-16-2020,11-16-2020:11:00:00,0.0855,TR1,401927,1-MTH SOFR SYNTH FUT
11-16-2020,11-16-2020:11:00:00,0.07713,TY1,729303,12MTH SOFR SYNTH FUT
11-17-2020,11-17-2020:11:00:00,0.081,TR6,623206,6-MTH SOFR SYNTH FUT
11-17-2020,11-17-2020:11:00:00,0.0851,TR3,663077,3-MTH SOFR SYNTH FUT
11-17-2020,11-17-2020:11:00:00,0.0866,TR1,401927,1-MTH SOFR SYNTH FUT
11-17-2020,11-17-2020:11:00:00,0.07721,TY1,729303,12MTH SOFR SYNTH FUT
11-18-2020,11-18-2020:11:00:00,0.0791,TR6,623206,6-MTH SOFR SYNTH FUT
11-18-2020,11-18-2020:11:00:00,0.0833,TR3,663077,3-MTH SOFR SYNTH FUT
11-18-2020,11-18-2020:11:00:00,0.0844,TR1,401927,1-MTH SOFR SYNTH FUT
11-18-2020,11-18-2020:11:00:00,0.07683,TY1,729303,12MTH SOFR SYNTH FUT
11-19-2020,11-19-2020:11:00:35,0.0775,TR6,623206,6-MTH SOFR SYNTH FUT
11-19-2020,11-19-2020:11:00:35,0.0808,TR3,663077,3-MTH SOFR SYNTH FUT
11-19-2020,11-19-2020:11:00:35,0.0815,TR1,401927,1-MTH SOFR SYNTH FUT
11-19-2020,11-19-2020:11:00:35,0.06706,TY1,729303,12MTH SOFR SYNTH FUT
11-20-2020,11-20-2020:11:00:00,0.0734,TR6,623206,6-MTH SOFR SYNTH FUT
11-20-2020,11-20-2020:11:00:00,0.0772,TR3,663077,3-MTH SOFR SYNTH FUT
11-20-2020,11-20-2020:11:00:00,0.0767,TR1,401927,1-MTH SOFR SYNTH FUT
11-20-2020,11-20-2020:11:00:00,0.06452,TY1,729303,12MTH SOFR SYNTH FUT
11-23-2020,11-23-2020:11:00:00,0.0661,TR6,623206,6-MTH SOFR SYNTH FUT
11-23-2020,11-23-2020:11:00:00,0.0698,TR3,663077,3-MTH SOFR SYNTH FUT
11-23-2020,11-23-2020:11:00:00,0.0715,TR1,401927,1-MTH SOFR SYNTH FUT
11-23-2020,11-23-2020:11:00:00,0.06514,TY1,729303,12MTH SOFR SYNTH FUT
11-24-2020,11-24-2020:11:00:00,0.0655,TR6,623206,6-MTH SOFR SYNTH FUT
11-24-2020,11-24-2020:11:00:00,0.0694,TR3,663077,3-MTH SOFR SYNTH FUT
11-24-2020,11-24-2020:11:00:00,0.0715,TR1,401927,1-MTH SOFR SYNTH FUT
11-24-2020,11-24-2020:11:00:00,0.06486,TY1,729303,12MTH SOFR SYNTH FUT
11-25-2020,11-25-2020:11:00:32,0.0668,TR6,623206,6-MTH SOFR SYNTH FUT
11-25-2020,11-25-2020:11:00:32,0.0714,TR3,663077,3-MTH SOFR SYNTH FUT
11-25-2020,11-25-2020:11:00:32,0.0745,TR1,401927,1-MTH SOFR SYNTH FUT
11-25-2020,11-25-2020:11:00:32,0.06837,TY1,729303,12MTH SOFR SYNTH FUT
11-27-2020,11-27-2020:11:00:00,0.0685,TR6,623206,6-MTH SOFR SYNTH FUT
11-27-2020,11-27-2020:11:00:00,0.0719,TR3,663077,3-MTH SOFR SYNTH FUT
11-27-2020,11-27-2020:11:00:00,0.074,TR1,401927,1-MTH SOFR SYNTH FUT
11-27-2020,11-27-2020:11:00:00,0.06804,TY1,729303,12MTH SOFR SYNTH FUT
11-30-2020,11-30-2020:11:00:00,0.0681,TR6,623206,6-MTH SOFR SYNTH FUT
11-30-2020,11-30-2020:11:00:00,0.0723,TR3,663077,3-MTH SOFR SYNTH FUT
11-30-2020,11-30-2020:11:00:00,0.0772,TR1,401927,1-MTH SOFR SYNTH FUT
11-30-2020,11-30-2020:11:00:00,0.06864,TY1,729303,12MTH SOFR SYNTH FUT
12-01-2020,12-01-2020:11:00:32,0.0674,TR6,623206,6-MTH SOFR SYNTH FUT
12-01-2020,12-01-2020:11:00:32,0.0711,TR3,663077,3-MTH SOFR SYNTH FUT
12-01-2020,12-01-2020:11:00:32,0.0738,TR1,401927,1-MTH SOFR SYNTH FUT
12-01-2020,12-01-2020:11:00:32,0.06926,TY1,729303,12MTH SOFR SYNTH FUT
12-02-2020,12-02-2020:11:00:00,0.0669,TR6,623206,6-MTH SOFR SYNTH FUT
12-02-2020,12-02-2020:11:00:00,0.0698,TR3,663077,3-MTH SOFR SYNTH FUT
12-02-2020,12-02-2020:11:00:00,0.0715,TR1,401927,1-MTH SOFR SYNTH FUT
12-02-2020,12-02-2020:11:00:00,0.07047,TY1,729303,12MTH SOFR SYNTH FUT
12-03-2020,12-03-2020:11:00:00,0.0687,TR6,623206,6-MTH SOFR SYNTH FUT
12-03-2020,12-03-2020:11:00:00,0.0714,TR3,663077,3-MTH SOFR SYNTH FUT
12-03-2020,12-03-2020:11:00:00,0.0725,TR1,401927,1-MTH SOFR SYNTH FUT
12-03-2020,12-03-2020:11:00:00,0.06664,TY1,729303,12MTH SOFR SYNTH FUT
12-04-2020,12-04-2020:11:00:42,0.0664,TR6,623206,6-MTH SOFR SYNTH FUT
12-04-2020,12-04-2020:11:00:42,0.0709,TR3,663077,3-MTH SOFR SYNTH FUT
12-04-2020,12-04-2020:11:00:42,0.0735,TR1,401927,1-MTH SOFR SYNTH FUT
12-04-2020,12-04-2020:11:00:42,0.06571,TY1,729303,12MTH SOFR SYNTH FUT
12-07-2020,12-07-2020:11:00:00,0.0647,TR6,623206,6-MTH SOFR SYNTH FUT
12-07-2020,12-07-2020:11:00:00,0.0694,TR3,663077,3-MTH SOFR SYNTH FUT
12-07-2020,12-07-2020:11:00:00,0.0734,TR1,401927,1-MTH SOFR SYNTH FUT
12-07-2020,12-07-2020:11:00:00,0.06003,TY1,729303,12MTH SOFR SYNTH FUT
12-08-2020,12-08-2020:11:00:00,0.06,TR6,623206,6-MTH SOFR SYNTH FUT
12-08-2020,12-08-2020:11:00:00,0.0631,TR3,663077,3-MTH SOFR SYNTH FUT
12-08-2020,12-08-2020:11:00:00,0.068,TR1,401927,1-MTH SOFR SYNTH FUT
12-08-2020,12-08-2020:11:00:00,0.06448,TY1,729303,12MTH SOFR SYNTH FUT
12-09-2020,12-09-2020:11:00:00,0.0598,TR6,623206,6-MTH SOFR SYNTH FUT
12-09-2020,12-09-2020:11:00:00,0.0633,TR3,663077,3-MTH SOFR SYNTH FUT
12-09-2020,12-09-2020:11:00:00,0.0671,TR1,401927,1-MTH SOFR SYNTH FUT
12-09-2020,12-09-2020:11:00:00,0.06509,TY1,729303,12MTH SOFR SYNTH FUT
12-10-2020,12-10-2020:11:00:34,0.0583,TR6,623206,6-MTH SOFR SYNTH FUT
12-10-2020,12-10-2020:11:00:34,0.0601,TR3,663077,3-MTH SOFR SYNTH FUT
12-10-2020,12-10-2020:11:00:34,0.0645,TR1,401927,1-MTH SOFR SYNTH FUT
12-10-2020,12-10-2020:11:00:34,0.06386,TY1,729303,12MTH SOFR SYNTH FUT
12-11-2020,12-11-2020:11:00:00,0.0594,TR6,623206,6-MTH SOFR SYNTH FUT
12-11-2020,12-11-2020:11:00:00,0.062,TR3,663077,3-MTH SOFR SYNTH FUT
12-11-2020,12-11-2020:11:00:00,0.0675,TR1,401927,1-MTH SOFR SYNTH FUT
12-11-2020,12-11-2020:11:00:00,0.05621,TY1,729303,12MTH SOFR SYNTH FUT
12-14-2020,12-14-2020:11:00:29,0.0554,TR6,623206,6-MTH SOFR SYNTH FUT
12-14-2020,12-14-2020:11:00:29,0.0579,TR3,663077,3-MTH SOFR SYNTH FUT
12-14-2020,12-14-2020:11:00:29,0.0638,TR1,401927,1-MTH SOFR SYNTH FUT
12-14-2020,12-14-2020:11:00:29,0.05708,TY1,729303,12MTH SOFR SYNTH FUT
12-15-2020,12-15-2020:11:00:00,0.056,TR6,623206,6-MTH SOFR SYNTH FUT
12-15-2020,12-15-2020:11:00:00,0.0602,TR3,663077,3-MTH SOFR SYNTH FUT
12-15-2020,12-15-2020:11:00:00,0.0656,TR1,401927,1-MTH SOFR SYNTH FUT
12-15-2020,12-15-2020:11:00:00,0.05697,TY1,729303,12MTH SOFR SYNTH FUT
12-16-2020,12-16-2020:11:00:00,0.0565,TR6,623206,6-MTH SOFR SYNTH FUT
12-16-2020,12-16-2020:11:00:00,0.0612,TR3,663077,3-MTH SOFR SYNTH FUT
12-16-2020,12-16-2020:11:00:00,0.0656,TR1,401927,1-MTH SOFR SYNTH FUT
12-16-2020,12-16-2020:11:00:00,0.05789,TY1,729303,12MTH SOFR SYNTH FUT
12-17-2020,12-17-2020:11:00:31,0.0578,TR6,623206,6-MTH SOFR SYNTH FUT
12-17-2020,12-17-2020:11:00:31,0.0644,TR3,663077,3-MTH SOFR SYNTH FUT
12-17-2020,12-17-2020:11:00:31,0.0694,TR1,401927,1-MTH SOFR SYNTH FUT
12-17-2020,12-17-2020:11:00:31,0.05877,TY1,729303,12MTH SOFR SYNTH FUT
12-18-2020,12-18-2020:11:00:33,0.0598,TR6,623206,6-MTH SOFR SYNTH FUT
12-18-2020,12-18-2020:11:00:33,0.0691,TR3,663077,3-MTH SOFR SYNTH FUT
12-18-2020,12-18-2020:11:00:33,0.0752,TR1,401927,1-MTH SOFR SYNTH FUT
12-18-2020,12-18-2020:11:00:33,0.05523,TY1,729303,12MTH SOFR SYNTH FUT
12-21-2020,12-21-2020:11:00:00,0.0564,TR6,623206,6-MTH SOFR SYNTH FUT
12-21-2020,12-21-2020:11:00:00,0.0643,TR3,663077,3-MTH SOFR SYNTH FUT
12-21-2020,12-21-2020:11:00:00,0.0721,TR1,401927,1-MTH SOFR SYNTH FUT
12-21-2020,12-21-2020:11:00:00,0.05674,TY1,729303,12MTH SOFR SYNTH FUT
12-22-2020,12-22-2020:11:00:00,0.0565,TR6,623206,6-MTH SOFR SYNTH FUT
12-22-2020,12-22-2020:11:00:00,0.0646,TR3,663077,3-MTH SOFR SYNTH FUT
12-22-2020,12-22-2020:11:00:00,0.0754,TR1,401927,1-MTH SOFR SYNTH FUT
12-22-2020,12-22-2020:11:00:00,0.05795,TY1,729303,12MTH SOFR SYNTH FUT
12-23-2020,12-23-2020:11:00:29,0.0581,TR6,623206,6-MTH SOFR SYNTH FUT
12-23-2020,12-23-2020:11:00:29,0.067,TR3,663077,3-MTH SOFR SYNTH FUT
12-23-2020,12-23-2020:11:00:29,0.0773,TR1,401927,1-MTH SOFR SYNTH FUT
12-23-2020,12-23-2020:11:00:29,0.05666,TY1,729303,12MTH SOFR SYNTH FUT
12-24-2020,12-24-2020:11:00:00,0.0581,TR6,623206,6-MTH SOFR SYNTH FUT
12-24-2020,12-24-2020:11:00:00,0.0667,TR3,663077,3-MTH SOFR SYNTH FUT
12-24-2020,12-24-2020:11:00:00,0.0764,TR1,401927,1-MTH SOFR SYNTH FUT
12-24-2020,12-24-2020:11:00:00,0.05899,TY1,729303,12MTH SOFR SYNTH FUT
12-28-2020,12-28-2020:11:00:32,0.0587,TR6,623206,6-MTH SOFR SYNTH FUT
12-28-2020,12-28-2020:11:00:32,0.067,TR3,663077,3-MTH SOFR SYNTH FUT
12-28-2020,12-28-2020:11:00:32,0.078,TR1,401927,1-MTH SOFR SYNTH FUT
12-28-2020,12-28-2020:11:00:32,0.06238,TY1,729303,12MTH SOFR SYNTH FUT
12-29-2020,12-29-2020:11:00:31,0.0596,TR6,623206,6-MTH SOFR SYNTH FUT
12-29-2020,12-29-2020:11:00:31,0.0678,TR3,663077,3-MTH SOFR SYNTH FUT
12-29-2020,12-29-2020:11:00:31,0.0786,TR1,401927,1-MTH SOFR SYNTH FUT
12-29-2020,12-29-2020:11:00:31,0.06107,TY1,729303,12MTH SOFR SYNTH FUT
12-30-2020,12-30-2020:11:00:34,0.0595,TR6,623206,6-MTH SOFR SYNTH FUT
12-30-2020,12-30-2020:11:00:34,0.0671,TR3,663077,3-MTH SOFR SYNTH FUT
12-30-2020,12-30-2020:11:00:34,0.0774,TR1,401927,1-MTH SOFR SYNTH FUT
12-30-2020,12-30-2020:11:00:34,0.06369,TY1,729303,12MTH SOFR SYNTH FUT
12-31-2020,12-31-2020:11:00:00,0.0587,TR6,623206,6-MTH SOFR SYNTH FUT
12-31-2020,12-31-2020:11:00:00,0.0652,TR3,663077,3-MTH SOFR SYNTH FUT
12-31-2020,12-31-2020:11:00:00,0.0732,TR1,401927,1-MTH SOFR SYNTH FUT
12-31-2020,12-31-2020:11:00:00,0.05940,TY1,729303,12MTH SOFR SYNTH FUT
